TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,joint0,joint1,joint2,joint3,joint4,joint5
0.05,0.05,0.1,-0.0017638090205041451,-0.14318516525781366,0.09999999999999999,75,90.0,-90.0,0.0713639923572959,-0.4960848781246094,-1.44917047157817,-0.3921167439405954,1.5064593709832343,-1.7963825057552605,-3.4192309527882014
0.0,0.05,0.1,-0.05176380902050414,0.2431851652578137,0.09999999999999998,-75,90.0,-90.0,0.06506788994629445,0.6489536675795214,-1.4815837954563102,-0.31127522633365434,1.6613088392914626,1.9476467097940346,3.380321058642459
0.0,0.05,0.1,-0.10000000000000003,0.22320508075688772,0.09999999999999998,-60,90.0,-90.0,0.10152385847083376,0.6940651160127186,-1.3005413822016785,-0.8033011263477843,1.6582720164410665,1.7162262559284165,3.6812096058358463
0.0,0.05,0.1,-0.14142135623730953,0.19142135623730955,0.09999999999999998,-45,90.0,-90.0,0.12472260479335535,0.7426881904708881,-1.1981527949229709,-1.1737475944017703,1.5409092477989244,1.5410407293760533,-2.339595580629949
0.0,0.05,0.1,-0.17320508075688779,0.15000000000000002,0.09999999999999998,-30,90.0,-90.0,0.13268130127104003,0.7844833654043942,-1.1646200611577358,-1.4905872940755154,1.3374812903776248,1.448310300811794,-2.0439068025722245
0.0,0.05,0.1,-0.19318516525781368,0.10176380902050415,0.09999999999999996,-15,90.0,-90.0,0.11719502095919367,0.7963258765815349,-1.219481215810154,-1.7752745937063514,1.0634385744935968,1.4981246219709385,-1.6996864228999333
0.0,0.05,0.1,-0.2,0.05,0.1,0,90.0,-90.0,0.10643583106156937,0.7136080576978956,-1.35471151442092,-2.0251490954315634,0.7287078511354378,1.7496837764102147,-1.4121441998045188
0.0,0.05,0.1,-0.19318516525781365,-0.0017638090205041243,0.09999999999999994,15,90.0,-90.0,0.07551357004898476,0.4597035637997687,-1.4279256677105423,-2.253216277487021,0.22920565335794588,2.0982699321379363,-1.4530089545023395
0.0,0.05,0.1,-0.17320508075688779,-0.05,0.1,30,90.0,-90.0,0.0634127468270931,-0.04241583307828346,-1.2539617849478695,-2.4432921859976635,-0.6427511003010541,2.032102468634274,-1.8928162482373592
0.0,0.05,0.1,-0.1414213562373095,-0.09142135623730947,0.09999999999999992,45,90.0,-90.0,0.10230419309100451,-0.4300434024953925,-1.1789819784270281,-2.290555475342437,-1.2338698183938044,1.6830940960645755,-1.879513690898623
0.0,0.05,0.1,-0.1,-0.12320508075688776,0.09999999999999999,60,90.0,-90.0,0.11353188697981778,-0.6020142048101428,-1.237470817568923,-1.9754109278902572,-1.6496942739031986,1.564278998001411,-1.6410071987879866
0.0,0.05,0.1,-0.05176380902050415,-0.14318516525781366,0.09999999999999999,75,90.0,-90.0,0.08779393494236276,-0.6437655342633581,-1.3798414175677847,-1.5262890773154139,-1.942699898102669,1.6583235886965961,-1.3523584597768978
0.0,0.05,0.1,-3.140184917367551e-17,-0.15000000000000008,0.1,90,90.0,-90.0,0.03886325998107336,-0.548023318591212,-2.034830125554973,0.8978948588833054,1.8226249420209533,-2.0635296582435707,-2.643184839739411
